,LvsI,RM,fname
93,1.110456943511963,84650,pulse_120303983.calib
94,1.1174904108047485,84700,pulse_120303983.calib
95,1.1252719163894653,84750,pulse_120303983.calib
96,1.133777141571045,84800,pulse_120303983.calib
97,1.1430566310882568,84850,pulse_120303983.calib
98,1.152919054031372,84900,pulse_120303983.calib
99,1.1637331247329712,84950,pulse_120303983.calib
100,1.175088882446289,85000,pulse_120303983.calib
101,1.183171033859253,85050,pulse_120303983.calib
102,1.1535632610321045,85100,pulse_120303983.calib
103,1.1242867708206177,85150,pulse_120303983.calib
104,1.0955164432525635,85200,pulse_120303983.calib
105,1.0673258304595947,85250,pulse_120303983.calib
106,1.0399154424667358,85300,pulse_120303983.calib
107,1.0129555463790894,85350,pulse_120303983.calib
108,0.9866306185722351,85400,pulse_120303983.calib
109,0.9608396291732788,85450,pulse_120303983.calib
110,0.9356825947761536,85500,pulse_120303983.calib
111,0.91117924451828,85550,pulse_120303983.calib
112,0.8872371315956116,85600,pulse_120303983.calib
113,0.8639148473739624,85650,pulse_120303983.calib
114,0.8413240909576416,85700,pulse_120303983.calib
115,0.8190042972564697,85750,pulse_120303983.calib
116,0.8077521920204163,85800,pulse_120303983.calib
117,0.799737811088562,85850,pulse_120303983.calib
118,0.7921713590621948,85900,pulse_120303983.calib
119,0.78489750623703,85950,pulse_120303983.calib
120,0.7799092531204224,86000,pulse_120303983.calib
121,0.7754159569740295,86050,pulse_120303983.calib
122,0.7706218957901001,86100,pulse_120303983.calib
123,0.7656081318855286,86150,pulse_120303983.calib
124,0.7601622939109802,86200,pulse_120303983.calib
125,0.7545857429504395,86250,pulse_120303983.calib
126,0.7486525774002075,86300,pulse_120303983.calib
127,0.7425776720046997,86350,pulse_120303983.calib
128,0.7363194823265076,86400,pulse_120303983.calib
129,0.7310331463813782,86450,pulse_120303983.calib
130,0.7275123596191406,86500,pulse_120303983.calib
131,0.7245782017707825,86550,pulse_120303983.calib
132,0.7218344807624817,86600,pulse_120303983.calib
133,0.7195995450019836,86650,pulse_120303983.calib
134,0.717641294002533,86700,pulse_120303983.calib
135,0.7160916328430176,86750,pulse_120303983.calib
136,0.7148338556289673,86800,pulse_120303983.calib
137,0.713917076587677,86850,pulse_120303983.calib
138,0.7136243581771851,86900,pulse_120303983.calib
139,0.7135226130485535,86950,pulse_120303983.calib
140,0.7137116193771362,87000,pulse_120303983.calib
141,0.7143678069114685,87050,pulse_120303983.calib
142,0.7153568267822266,87100,pulse_120303983.calib
143,0.7166224122047424,87150,pulse_120303983.calib
144,0.7183854579925537,87200,pulse_120303983.calib
145,0.7203683257102966,87250,pulse_120303983.calib
146,0.7225876450538635,87300,pulse_120303983.calib
147,0.7252115607261658,87350,pulse_120303983.calib
148,0.7281293272972107,87400,pulse_120303983.calib
149,0.7311723232269287,87450,pulse_120303983.calib
150,0.7345070242881775,87500,pulse_120303983.calib
151,0.7471086978912354,87550,pulse_120303983.calib
152,0.7539185285568237,87600,pulse_120303983.calib
153,0.7468145489692688,87650,pulse_120303983.calib
154,0.7416584491729736,87700,pulse_120303983.calib
155,0.7360603213310242,87750,pulse_120303983.calib
156,0.7302324771881104,87800,pulse_120303983.calib
157,0.7239877581596375,87850,pulse_120303983.calib
158,0.7174739837646484,87900,pulse_120303983.calib
159,0.710730791091919,87950,pulse_120303983.calib
160,0.7037186622619629,88000,pulse_120303983.calib
161,0.698762059211731,88050,pulse_120303983.calib
162,0.6972426772117615,88100,pulse_120303983.calib
163,0.6958934664726257,88150,pulse_120303983.calib
164,0.6943008899688721,88200,pulse_120303983.calib
165,0.6928808689117432,88250,pulse_120303983.calib
166,0.6930419206619263,88300,pulse_120303983.calib
167,0.7041643261909485,88350,pulse_120303983.calib
